card_id,title,model,max_head_m,max_flow_original,max_flow_l_min,voltage,power_kw,diameter_raw,diameter_mm,source_url,status
bx_40480796_44424_cdd13bd5ae7b0c257424b2a019fe9c7f,Скважинный погружной насос Sumoto 3OPC5/26,3OPC5/26,94,6.02 м³/ч,100.33,220,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_5_26/,needs_check
bx_40480796_44414_f342bcc33e6b8f41085bb8fa088a5e19,Скважинный погружной насос Sumoto OPC 4SRm4/18,OPC 4SRm4/18,120,6.02 м³/ч,100.33,220,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4srm_4_18/,needs_check
bx_40480796_44395_cb72134bda597e13adfc49a01db10c36,Скважинный погружной насос Sumoto OPC 4SR4/18 (380в),OPC 4SR4/18 (380в),120,6.02 м³/ч,100.33,380,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_4_18_380v/,needs_check
bx_40480796_44419_405fa73eaca4835adf3c57f863defee8,Скважинный погружной насос Sumoto 3OPC2.5/36,3OPC2.5/36,156,3.61 м³/ч,60.17,220,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_3shm_2_5_36/,needs_check
bx_40480796_44393_2d557ec58433dd4c903e3a05b652ad3b,Скважинный погружной насос Sumoto OPC 4SRm2/27,OPC 4SRm2/27,175,3.61 м³/ч,60.17,220,1.5,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4srm_2_27/,needs_check
bx_40480796_44415_7336ecc1cc9fc29bbd635a38db819ae7,Скважинный погружной насос Sumoto OPC 4SRm4/26,OPC 4SRm4/26,170,6.02 м³/ч,100.33,220,2.2,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4srm_4_26/,needs_check
bx_40480796_44396_17b16917a6b5115092ad464bbbd08140,Скважинный погружной насос Sumoto OPC 4SR4/26 (380в),OPC 4SR4/26 (380в),170,6.02 м³/ч,100.33,380,2.2,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_4_26_380v/,needs_check
bx_40480796_44400_bcdd4f2daf1f375f7393bdaabb43c42c,Скважинный погружной насос Sumoto OPC 4SRm6/20,OPC 4SRm6/20,120,9.64 м³/ч,160.67,220,2.2,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4srm_6_20/,needs_check
bx_40480796_46318_ceff6ff2fb7e75cfd3194733fb4b61ca,Скважинный погружной насос Sumoto OPC 4SR12/19 (380в),OPC 4SR12/19 (380в),115,16.27 м³/ч,271.17,380,4,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_opc_4sr12_19_380v/,needs_check
bx_40480796_44401_4d476843507a14967898846b3d9dcc46,Скважинный погружной насос Sumoto OPC 4SR6/27 (380в),OPC 4SR6/27 (380в),162,9.64 м³/ч,160.67,380,3,,,https://nasosymarket.ru/catalog/vodyanye_nasosy/skvazhinnyy_pogruzhnoy_nasos_sumoto_4sr_6_27_380v/,needs_check
