model,voltage,power_kw,max_head_m,max_flow_l_min,diameter_mm,diameter_raw,source,status
3OPC1.8/20,220,0.55,84,45,76,3OPC heuristic,manual_table_3opc18,ok
3OPC1.8/27,220,0.75,113,45,76,3OPC heuristic,manual_table_3opc18,ok
3OPC1.8/37,220,1.1,154,45,76,3OPC heuristic,manual_table_3opc18,ok
3OPC1.8/47,220,1.5,196,45,76,3OPC heuristic,manual_table_3opc18,ok
3OPC2.5/5,220,0.18,24,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC2.5/7,220,0.25,32,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC2.5/10,220,0.37,44,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC2.5/15,220,0.55,65,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC2.5/20,220,0.75,87,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC2.5/28,220,1.1,122,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC2.5/36,220,1.5,156,60,76,3OPC heuristic,manual_table_3opc25,ok
3OPC4/7,220,0.25,24,80,76,3OPC heuristic,manual_table_3opc4,ok
3OPC4/9,220,0.37,31,80,76,3OPC heuristic,manual_table_3opc4,ok
3OPC4/14,220,0.55,48,80,76,3OPC heuristic,manual_table_3opc4,ok
3OPC4/19,220,0.75,65,80,76,3OPC heuristic,manual_table_3opc4,ok
3OPC4/26,220,1.1,88,80,76,3OPC heuristic,manual_table_3opc4,ok
3OPC4/35,220,1.5,119,80,76,3OPC heuristic,manual_table_3opc4,ok
3OPC5/4,220,0.25,15,100,76,3OPC heuristic,manual_table_3opc5,ok
3OPC5/7,220,0.37,26,100,76,3OPC heuristic,manual_table_3opc5,ok
3OPC5/9,220,0.55,32,100,76,3OPC heuristic,manual_table_3opc5,ok
3OPC5/13,220,0.75,47,100,76,3OPC heuristic,manual_table_3opc5,ok
3OPC5/19,220,1.1,68,100,76,3OPC heuristic,manual_table_3opc5,ok
3OPC5/26,220,1.5,94,100,76,3OPC heuristic,manual_table_3opc5,ok
